A	Emitter, Red UP
B	Wall
C	Emitter, Red DOWN
D	Emitter, Red LEFT
E	Emitter, Red RIGHT
F	Emitter, Blue UP
G	Emitter, Blue DOWN
H	Emitter, Blue LEFT
I	Emitter, Blue RIGHT
J	Emitter, Green UP
K	Emitter, Green DOWN
L	Emitter, Green LEFT
M	Emitter, Green RIGHT
N	Emitter, Magenta UP
O	Emitter, Magenta DOWN
P	Emitter, Magenta LEFT
Q	Emitter, Magenta RIGHT
R	Emitter, Cyan UP
S	Emitter, Cyan DOWN
T	Emitter, Cyan LEFT
U	Emitter, Cyan RIGHT
V	Emitter, Yellow UP
W	Emitter, Yellow DOWN
X	Emitter, Yellow LEFT
Y	Emitter, Yellow RIGHT
Z	Emitter, White UP
a	Receiver, Red
f	Receiver, Blue
j	Receiver, Green
n	Receiver, Magenta
r	Receiver, Cyan
v	Receiver, Yellow
w	Emitter, White DOWN
x	Emitter, White LEFT
y	Emitter, White RIGHT
z	Receiver, White
